,Description
142,a pioneer of contemporary street style  nmd is futuristic and fearless  it rejects the status quo and returns to adidas heritage for inspiration  where it remixes the best of the past for the right here  right now  these women s shoes are made with a flexible  ultralight adidas primeknit upper that has sock like construction for a close  contoured fit  boost cushioning is soft yet responsive  eva midsole inserts give the shoes signature nmd style 
143,sleek and streamlined  these women s shoes are built with a narrow silhouette  they re made of smooth suede leather and detailed with perforated 3 stripes for a look that recalls classic tennis styles  the laces flash gold metallic tips 
144,these shoes combine  70s heritage with contemporary details  the lightweight knit upper has the serrated 3 stripes of classic runners  while a moulded heel cage and welded overlays lend a technical look  a lightweight eva midsole adds cushioned comfort 
145,inspired by heritage running designs  these women s knit shoes have a sleek shape and a snug  sock like feel  embroidered accents and welded details elevate the look beyond basic  built for all day ease with a stretchy knit lining and a cushy midsole 
146,unabashedly feminine with modern sneaker style  these shoes offer clean lines and a retro vibe  they re made of soft leather and ride on a platform rubber outsole that adds extra attitude and a little lift  the tongue features shiny high gloss leather and the sockliner flashes a floral print 
147,these adidas jung slippers for women come with soft synthetic straps for better grip and comfort  it s durable die cut rubber outsole offers supreme comfort while the all over print gives it a unique style 
148,street style for those with running on the brain  these shoes pair pillow soft cloudfoam cushioning with a fresh  modern upper to own the pavement  brazilian powerhouse farm rio brings their playful vision to the shoes with an allover botanical graphic on the mesh upper 
149,inspired by a game changing running shoes from the archives  this shoe is built for everyday wear  a suede and nylon upper shows off classic 3 stripes styling  a mesh wrapped eva midsole echoes vintage looks from the archives 
150,these shoes draft off the marathon tr  a trail running pioneer that debuted in 1979  the upper mixes breathable mesh and suede overlays with metallic details  a grid print on the midsole highlights the addition of responsive boost cushioning 
151,the adidas glenn w shoes for women crafted with mesh upper for added comfort and breathability  they come with lightstrike eva midsole for long term lightweight cushioning and shock absorption with a full rubber outsole for durability 
152,streamlined and sophisticated  these women s shoes pair futuristic design with a minimalist  modern silhouette for a fresh take on adidas originals style  built to slip on and off  they have an adidas primeknit upper with a sleek wrap construction for a snug  sock like fit  shadow knit fabric creates a subtle color shifting effect  underfoot  a boost midsole energizes each step  and a signature nmd sole plug adds a technical look 
153,a modern take on adidas sport heritage  tailored just for women  perforated 3 stripes on the leather upper of these shoes offer a sleek look that mirrors iconic tennis styles 
154,take on the streets and the court with these forever dominating adidas originals superstar bounce pk shoes for women  they are crafted with energizing bounceâ   foam midsole which makes your ride smooth and effortless  these iconic sneakers come with classic rubber outsole along with contrast color detailing  padded collar and removable insole take complete care of your comfort 
155,these lightweight street shoes offer a shout out to  70s running heritage  they re rebuilt for today with updated materials and responsive boost cushioning in the midsole  the lace like mesh upper features synthetic suede overlays for a retro look 
156,first introduced in the 1950s  the samba is one of adidas  most iconic sneakers  these shoes take the classic shape in a fresh  feminine direction with a shiny metallic finish  platform soles give you a little extra height  the supple leather upper hugs your feet 
157,bolster your off road workouts in these women s light and flexible running shoes  the ventilated mesh upper offers maximum breathability  while a tpu overlay adds extra support  the responsive midsole features pillow soft cloudfoam cushioning for comfort with every stride 
158,the supercourt distills 40 years of adidas tennis style  this version of the classic low profile shoes has perforated 3 stripes on a crisp leather upper  decorative stitching and overlays add texture and depth for a multilayered look 
159,the rebellious spirit of the  90s favored bold lines and clashing colors  these shoes recall that decade with swerving shapes  this version features a full leather upper that s stamped with a snakeskin pattern  golden lace tips  a printed sockliner and special packaging complete the limited edition design 
160,a rising star from the soccer world  these shoes rework the samba s classic soccer silhouette as stylish platform sneakers  the supple leather upper is stacked on top of a raised gum rubber outsole for a little extra height  bright colors add to the fresh feel 
